variable,module,kind,assumption_level,formula_status,validation_status,hard_low,hard_high,expected_low,expected_high,range_note,review_priority,parameterizable_in_future,interpretation
metabolic_acidosis_index,AcidBaseElectrolyteModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for metabolic acidosis index; empirical and scenario-dependent.
metabolic_encephalopathy_index,NeuroFunctionalModule/ICPModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for metabolic encephalopathy index; empirical and scenario-dependent.
microbial_burden,InfectionAntimicrobialBasicModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for microbial burden; empirical and scenario-dependent.
microcirculatory_failure_index,AdvancedSepsisModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for microcirculatory failure index; empirical and scenario-dependent.
morphine_renal_accumulation_risk,AKICRRTModule,risk_index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal variable morphine_renal_accumulation_risk; added to the hardened public registry in v1.19.
myocardial_depression_index,AdvancedSepsisModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for myocardial depression index; empirical and scenario-dependent.
neuro_HR_add,NeuroFunctionalModule/ICPModule,additive_modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,-150.0,150.0,-50.0,50.0,additive modifier; unit depends on downstream target,standard,False,Additive term used by downstream modules to express the qualitative effect of neuro HR add; unit depends on target variable.
neuro_alert,NeuroFunctionalModule/ICPModule,alert_flag,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Boolean alert flag for neuro alert; used for report/UI logic.
neuro_resp_drive_mod,NeuroFunctionalModule/ICPModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of neuro resp drive mod; not a directly validated clinical endpoint.
neuro_severity_score,NeuroFunctionalModule/ICPModule,score,high,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",high,True,Composite severity/response score for neuro severity score; empirical and intended for internal simulation logic.
neuro_sympathetic_mod,NeuroFunctionalModule/ICPModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of neuro sympathetic mod; not a directly validated clinical endpoint.
nitrogen_balance_proxy,NutritionCatabolismModule,proxy,high,empirical_or_heuristic,internal plausibility only; not externally validated,-50.0,50.0,-20.0,20.0,qualitative nitrogen balance proxy,standard,False,Proxy variable approximating nitrogen balance proxy; not equivalent to the bedside clinical measurement.
nutrition_albumin_mod,NutritionCatabolismModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of nutrition albumin mod; not a directly validated clinical endpoint.
nutrition_severity_score,NutritionCatabolismModule,score,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Composite severity/response score for nutrition severity score; empirical and intended for internal simulation logic.
oncotic_pressure_proxy,HepaticMetabolismModule,proxy,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,3.0,0.3,2.0,relative oncotic pressure proxy,standard,False,Proxy variable approximating oncotic pressure proxy; not equivalent to the bedside clinical measurement.
overdistension_index,HeartLung/RespiratoryMechanicsModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for overdistension index; empirical and scenario-dependent.
pain_score,PainStressSedationModule,score,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,10.0,0.0,10.0,qualitative pain/procedural stress scale,standard,False,Composite severity/response score for pain score; empirical and intended for internal simulation logic.
pathogen_resistance_index,InfectionAntimicrobialBasicModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for pathogen resistance index; empirical and scenario-dependent.
piperacillin_coverage_mod,Pharmacology/InfectionModules,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal variable piperacillin_coverage_mod; added to the hardened public registry in v1.19.
piperacillin_ft_above_MIC,Pharmacology/InfectionModules,index,moderate,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,,,,,see numeric_range.expected,high,True,Qualitative internal variable piperacillin_ft_above_MIC; added to the hardened public registry in v1.19.
piperacillin_target_attainment,Pharmacology/InfectionModules,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal variable piperacillin_target_attainment; added to the hardened public registry in v1.19.
platelet_function_index,HematologyOxygenTransportModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for platelet function index; empirical and scenario-dependent.
procalcitonin_proxy,InfectionAntimicrobialBasicModule,proxy,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1000.0,0.0,100.0,qualitative inflammatory biomarker proxy,standard,False,Proxy variable approximating procalcitonin proxy; not equivalent to the bedside clinical measurement.
recruited_frac,RespiratoryMechanics/ChemoreflexModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for recruited frac; empirical and scenario-dependent.
refeeding_risk_index,NutritionCatabolismModule,risk_index,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,"Qualitative risk index for refeeding risk index; intended for scenario comparison and education, not prediction."
renal_severity_score,AKICRRTModule/FluidBalanceModule,score,high,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",high,True,Composite severity/response score for renal severity score; empirical and intended for internal simulation logic.
respiratory_acidosis_index,AcidBaseElectrolyteModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for respiratory acidosis index; empirical and scenario-dependent.
sed_HR_mod,PainStressSedationModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of sed HR mod; not a directly validated clinical endpoint.
sed_SVR_mod,PainStressSedationModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of sed SVR mod; not a directly validated clinical endpoint.
sed_VO2_mod,PainStressSedationModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of sed VO2 mod; not a directly validated clinical endpoint.
sed_resp_mod,PainStressSedationModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of sed resp mod; not a directly validated clinical endpoint.
sedation_score,PainStressSedationModule,score,high,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,0.0,1.0,0.0,1.0,"unitless qualitative score, expected to remain within 0-1",high,True,Composite severity/response score for sedation score; empirical and intended for internal simulation logic.
seizure_risk_index,NeuroFunctionalModule/ICPModule,risk_index,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,"Qualitative risk index for seizure risk index; intended for scenario comparison and education, not prediction."
seizure_treatment_effect,NeuroFunctionalModule/ICPModule,effect_index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for seizure treatment effect; empirical and scenario-dependent.
sepsis_CO_mod,AdvancedSepsisModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of sepsis CO mod; not a directly validated clinical endpoint.
sepsis_GFR_mod,AdvancedSepsisModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of sepsis GFR mod; not a directly validated clinical endpoint.
sepsis_HR_add,AdvancedSepsisModule,additive_modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,-150.0,150.0,-50.0,50.0,additive modifier; unit depends on downstream target,standard,False,Additive term used by downstream modules to express the qualitative effect of sepsis HR add; unit depends on target variable.
sepsis_SVR_mod,AdvancedSepsisModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of sepsis SVR mod; not a directly validated clinical endpoint.
sepsis_VO2_mod,AdvancedSepsisModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of sepsis VO2 mod; not a directly validated clinical endpoint.
sepsis_coag_mod,AdvancedSepsisModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of sepsis coag mod; not a directly validated clinical endpoint.
sepsis_lactate_prod_mod,AdvancedSepsisModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of sepsis lactate prod mod; not a directly validated clinical endpoint.
sepsis_severity_score,AdvancedSepsisModule,score,high,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",high,True,Composite severity/response score for sepsis severity score; empirical and intended for internal simulation logic.
septic_encephalopathy_index,NeuroFunctionalModule/ICPModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for septic encephalopathy index; empirical and scenario-dependent.
shivering_index,ThermoregulationModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for shivering index; empirical and scenario-dependent.
source_control_need_index,InfectionAntimicrobialBasicModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for source control need index; empirical and scenario-dependent.
steroid_ICP_mod,SteroidsModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of steroid ICP mod; not a directly validated clinical endpoint.
steroid_SIRS_mod,SteroidsModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of steroid SIRS mod; not a directly validated clinical endpoint.
steroid_SVR_mod,SteroidsModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of steroid SVR mod; not a directly validated clinical endpoint.
steroid_glucose_add,SteroidsModule,additive_modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,-150.0,150.0,-50.0,50.0,additive modifier; unit depends on downstream target,standard,False,Additive term used by downstream modules to express the qualitative effect of steroid glucose add; unit depends on target variable.
stress_hyperglycemia_index,PainStressSedationModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for stress hyperglycemia index; empirical and scenario-dependent.
stress_index,PainStressSedationModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for stress index; empirical and scenario-dependent.
sympathetic_tone,PainStressSedationModule,drive_or_tone,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,3.0,0.0,2.0,qualitative drive/tone variable,standard,False,Qualitative internal state for sympathetic tone; empirical and scenario-dependent.
temperature_instability_score,ThermoregulationModule,score,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score, expected to remain within 0-1",standard,False,Composite severity/response score for temperature instability score; empirical and intended for internal simulation logic.
thermo_HR_add,ThermoregulationModule,additive_modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,-150.0,150.0,-50.0,50.0,additive modifier; unit depends on downstream target,standard,False,Additive term used by downstream modules to express the qualitative effect of thermo HR add; unit depends on target variable.
thermo_VO2_mod,ThermoregulationModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of thermo VO2 mod; not a directly validated clinical endpoint.
thermo_coag_mod,ThermoregulationModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of thermo coag mod; not a directly validated clinical endpoint.
thermo_lactate_mod,ThermoregulationModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of thermo lactate mod; not a directly validated clinical endpoint.
thrombosis_risk_index,HematologyOxygenTransportModule,risk_index,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,"Qualitative risk index for thrombosis risk index; intended for scenario comparison and education, not prediction."
thyroid_suppression_index,EndocrineStressAxisModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for thyroid suppression index; empirical and scenario-dependent.
transfusion_trigger_score,HematologyOxygenTransportModule,score,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score, expected to remain within 0-1",standard,False,Composite severity/response score for transfusion trigger score; empirical and intended for internal simulation logic.
vancomycin_coverage_mod,Pharmacology/InfectionModules,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal variable vancomycin_coverage_mod; added to the hardened public registry in v1.19.
vancomycin_target_attainment,Pharmacology/InfectionModules,index,moderate,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",high,True,Qualitative internal variable vancomycin_target_attainment; added to the hardened public registry in v1.19.
vasoplegia_index,AdvancedSepsisModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for vasoplegia index; empirical and scenario-dependent.
venous_return_mod,HeartLung/RespiratoryMechanicsModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of venous return mod; not a directly validated clinical endpoint.
vq_deadspace_frac,RespiratoryGasExchangeModule,fraction,moderate,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",high,True,Qualitative internal variable vq_deadspace_frac; added to the hardened public registry in v1.19.
vq_exchange_frac,RespiratoryGasExchangeModule,fraction,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal variable vq_exchange_frac; added to the hardened public registry in v1.19.
vq_high_vq_burden,RespiratoryGasExchangeModule,burden_index,moderate,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",high,True,Qualitative internal variable vq_high_vq_burden; added to the hardened public registry in v1.19.
vq_low_vq_burden,RespiratoryGasExchangeModule,burden_index,moderate,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",high,True,Qualitative internal variable vq_low_vq_burden; added to the hardened public registry in v1.19.
vq_shunt_frac,RespiratoryGasExchangeModule,fraction,moderate,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",high,True,Qualitative internal variable vq_shunt_frac; added to the hardened public registry in v1.19.
warming_effect,ThermoregulationModule,effect_index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for warming effect; empirical and scenario-dependent.
withdrawal_risk,PainStressSedationModule,risk_index,high,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",high,True,"Qualitative risk index for withdrawal risk; intended for scenario comparison and education, not prediction."
withdrawal_state_index,NeuroFunctionalModule/ICPModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for withdrawal state index; empirical and scenario-dependent.
vq_adaptive_sigma,GasExchangeModule,dispersion_proxy,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,2.0,0.2,1.8,log-normal V/Q dispersion proxy; higher means more heterogeneity,high,True,Qualitative adaptive V/Q dispersion field vq_adaptive_sigma; intended for educational scenario plausibility and reviewer transparency.
vq_ards_weight,GasExchangeModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,unitless qualitative adaptive V/Q driver,standard,True,Qualitative adaptive V/Q dispersion field vq_ards_weight; intended for educational scenario plausibility and reviewer transparency.
vq_obstruction_weight,GasExchangeModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,unitless qualitative adaptive V/Q driver,standard,True,Qualitative adaptive V/Q dispersion field vq_obstruction_weight; intended for educational scenario plausibility and reviewer transparency.
vq_shock_weight,GasExchangeModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,unitless qualitative adaptive V/Q driver,standard,True,Qualitative adaptive V/Q dispersion field vq_shock_weight; intended for educational scenario plausibility and reviewer transparency.
vq_neonatal_weight,GasExchangeModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,unitless qualitative adaptive V/Q driver,standard,True,Qualitative adaptive V/Q dispersion field vq_neonatal_weight; intended for educational scenario plausibility and reviewer transparency.
vq_pathology_driver,GasExchangeModule,categorical_driver,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,,,,,none/ards/obstruction/shock/neonatal/mixed,standard,False,Dominant qualitative V/Q pathology driver for audit and debriefing.
ETT_failure_risk,Step4 integrated airway/pharmacology/monitoring modules,risk,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for ETT_failure_risk; directionality is scenario-dependent and not externally validated.
ETT_position_score,Step4 integrated airway/pharmacology/monitoring modules,score,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for ETT_position_score; directionality is scenario-dependent and not externally validated.
EtCO2_proxy,Step4 integrated airway/pharmacology/monitoring modules,proxy,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,150.0,15.0,80.0,legacy EtCO2 alias/proxy in mmHg; retained for backwards compatibility,standard,False,Internal PDT audit/monitoring variable for EtCO2_proxy; directionality is scenario-dependent and not externally validated.
HFNC_failure_risk,Step4 integrated airway/pharmacology/monitoring modules,risk,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for HFNC_failure_risk; directionality is scenario-dependent and not externally validated.
NIV_failure_risk,Step4 integrated airway/pharmacology/monitoring modules,risk,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for NIV_failure_risk; directionality is scenario-dependent and not externally validated.
NIV_leak_fraction,Step4 integrated airway/pharmacology/monitoring modules,fraction,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for NIV_leak_fraction; directionality is scenario-dependent and not externally validated.
NIV_mode,Step4 integrated airway/pharmacology/monitoring modules,categorical_state,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,,,,,see numeric_range when available; categorical states are string labels,standard,False,Internal PDT audit/monitoring variable for NIV_mode; directionality is scenario-dependent and not externally validated.
airway_event_hypoxia_burden,Step4 integrated airway/pharmacology/monitoring modules,burden,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for airway_event_hypoxia_burden; directionality is scenario-dependent and not externally validated.
airway_protection_score,Step4 integrated airway/pharmacology/monitoring modules,score,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for airway_protection_score; directionality is scenario-dependent and not externally validated.
aspiration_risk,Step4 integrated airway/pharmacology/monitoring modules,risk,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for aspiration_risk; directionality is scenario-dependent and not externally validated.
bronchodilator_HR_mod,Step4 integrated airway/pharmacology/monitoring modules,mod,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.5,2.0,0.8,1.4,heart-rate modifier from inhaled bronchodilator pathway,standard,False,Internal PDT audit/monitoring variable for bronchodilator_HR_mod; directionality is scenario-dependent and not externally validated.
cuff_leak_fraction,Step4 integrated airway/pharmacology/monitoring modules,fraction,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for cuff_leak_fraction; directionality is scenario-dependent and not externally validated.
dexmedetomidine_bradycardia_risk,Step4 integrated airway/pharmacology/monitoring modules,risk,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for dexmedetomidine_bradycardia_risk; directionality is scenario-dependent and not externally validated.
dexmedetomidine_hypotension_risk,Step4 integrated airway/pharmacology/monitoring modules,risk,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for dexmedetomidine_hypotension_risk; directionality is scenario-dependent and not externally validated.
diuretic_hypovolemia_risk,Step4 integrated airway/pharmacology/monitoring modules,risk,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for diuretic_hypovolemia_risk; directionality is scenario-dependent and not externally validated.
effective_external_PEEP_cmH2O,Step4 integrated airway/pharmacology/monitoring modules,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,60.0,0.0,25.0,effective external PEEP in cmH2O,standard,False,Internal PDT audit/monitoring variable for effective_external_PEEP_cmH2O; directionality is scenario-dependent and not externally validated.
furosemide_effective_diuretic_signal,Step4 integrated airway/pharmacology/monitoring modules,signal,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for furosemide_effective_diuretic_signal; directionality is scenario-dependent and not externally validated.
ino_rebound_risk_signal,Step4 integrated airway/pharmacology/monitoring modules,risk,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for ino_rebound_risk_signal; directionality is scenario-dependent and not externally validated.
insulin_effective_potassium_shift_mmol_L_h,Step4 integrated airway/pharmacology/monitoring modules,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,20.0,0.0,5.0,effective potassium shift rate proxy in mmol/L/h,standard,False,Internal PDT audit/monitoring variable for insulin_effective_potassium_shift_mmol_L_h; directionality is scenario-dependent and not externally validated.
ketamine_hemodynamic_support_signal,Step4 integrated airway/pharmacology/monitoring modules,mod,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for ketamine_hemodynamic_support_signal; directionality is scenario-dependent and not externally validated.
laryngospasm_score,Step4 integrated airway/pharmacology/monitoring modules,score,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative audit variable, expected to remain within 0-1",standard,False,Internal PDT audit/monitoring variable for laryngospasm_score; directionality is scenario-dependent and not externally validated.
